x,z
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.2,0.42229323
0.2,0.428926662
0.2,0.419302433
0.2,0.405470489
0.2,0.392058285
0.2,0.379105467
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.2,0.405121646
0.2,0.415677604
0.2,0.411194584
0.2,0.397686307
0.2,0.384394412
0.2,0.367420104
0.2,0.359209246
0.2,0.343481977
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.2,0.373722183
0.2,0.381207785
0.2,0.373839224
0.2,0.361590645
0.2,0.349696355
0.2,0.33820569
0.2,0.327104589
0.2,0.316378878
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.2,0.324942516
0.2,0.333596728
0.2,0.329311492
0.2,0.318602025
0.2,0.308173561
0.2,0.298095308
0.2,0.288355654
0.2,0.278942519
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.2,0.291781764
0.2,0.300609583
0.2,0.297081879
0.2,0.287463762
0.2,0.278090827
0.2,0.269030171
0.2,0.260271879
0.2,0.251805555
0.2,0.243620877
0.2,0.235703743
0.2,0.228049482
0.2,0.22064897
0.2,0.213493464
0.2,0.206574543
0.2,0.199884102
0.2,0.193414336
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.2,0.213142403
0.2,0.221806403
0.2,0.219320112
0.2,0.212276593
0.2,0.205409682
0.2,0.198769542
0.2,0.192348824
0.2,0.186139834
0.2,0.180135211
0.2,0.174327913
0.2,0.168711193
0.2,0.163278576
0.2,0.158023834
0.2,0.152940984
0.2,0.148024257
0.2,0.143268098
0.2,0.138667145
0.2,0.134216223
0.2,0.129910338
0.2,0.125744665
0.2,0.121714551
0.2,0.117815498
0.2,0.114043167
0.2,0.110393369
0.2,0.106862058
0.2,0.103445328
0.2,0.100139404
0.2,0.096940638
0.2,0.093845502
0.2,0.090850587
0.2,0.087952597
0.2,0.085148345
0.2,0.082434756
0.2,0.079808856
0.2,0.077267776
0.2,0.074808742
0.2,0.072429073
0.2,0.070126177
0.2,0.067897546
0.2,0.065740753
0.2,0.063653453
0.2,0.061633373
0.2,0.05967832
0.2,0.057786174
0.2,0.055954887
0.2,0.054182479
0.2,0.052467038
0.2,0.050806715
0.2,0.049199719
0.2,0.047644318
0.2,0.046138835
0.2,0.044681646
0.2,0.04327118
0.2,0.041905921
0.2,0.040584402
0.2,0.039305206
0.2,0.038066964
0.2,0.036868354
0.2,0.035708094
0.2,0.034584946
0.2,0.033497709
0.2,0.032445221
0.2,0.031426356
0.2,0.030440025
0.2,0.029485176
0.2,0.028560793
0.2,0.027665895
0.2,0.026799534
0.2,0.025960792
0.2,0.025148783
0.2,0.024362646
0.2,0.023601547
0.2,0.022864678
0.2,0.022151255
0.2,0.021460523
0.2,0.02079175
0.2,0.020144231
0.2,0.019517287
0.2,0.01891026
0.2,0.018322514
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,0.017753434
0.2,-0.018122364
0.2,-0.018028115
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,-0.017500303
0.2,0.01780632
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,0.017762327
0.2,-0.018221178
0.2,-0.018434496
0.2,-0.017991451
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141